Duplicate #,Category 1,Category 2,URL
1,"Noodles, Pasta & Vermicelli > Hakka Noodles","Noodles, Pasta & Vermicelli > Cooking pasta","https://www.swiggy.com/instamart/category-listing?categoryName=Noodles%2C+Pasta%2C+Vermicelli&filterId=6822eeebed32000001e25a80&filterName=Hakka+Noodles&offset=0&showAgeConsent=false&storeId=1404643&taxonomyType=Speciality+taxonomy+3"
2,"Cereals & Breakfast > Hot beverages","Cereals & Breakfast > Hot beverages","https://www.swiggy.com/instamart/category-listing?categoryName=Cereals+and+Breakfast&filterId=6822eeeded32000001e25ad9&filterName=Hot+Beverages&offset=0&showAgeConsent=false&storeId=1404643&taxonomyType=Speciality+taxonomy+1"
3,"Cereals & Breakfast > Juices & Fruit Drinks","Cereals & Breakfast > Juices & Fruit Drinks","https://www.swiggy.com/instamart/category-listing?categoryName=Cereals+and+Breakfast&filterId=6822eeeded32000001e25ada&filterName=Juices+%26+Fruit+Drinks&offset=0&showAgeConsent=false&storeId=1404643&taxonomyType=Speciality+taxonomy+1"
4,"Biscuits & Cakes > Cakes & Pies","Biscuits & Cakes > Cakes & Pies","https://www.swiggy.com/instamart/category-listing?categoryName=Biscuits+and+Cakes&filterId=6822eeeded32000001e25b15&filterName=Cakes+%26+Pies&offset=0&showAgeConsent=false&storeId=1404643&taxonomyType=Speciality+taxonomy+1"
5,"Biscuits & Cakes > Cookies","Biscuits & Cakes > Cookies","https://www.swiggy.com/instamart/category-listing?categoryName=Biscuits+and+Cakes&filterId=6822eeeded32000001e25b16&filterName=Cookies&offset=0&showAgeConsent=false&storeId=1404643&taxonomyType=Speciality+taxonomy+1"
6,"Biscuits & Cakes > Cream Biscuits","Biscuits & Cakes > Cream Biscuits","https://www.swiggy.com/instamart/category-listing?categoryName=Biscuits+and+Cakes&filterId=6822eeeded32000001e25b17&filterName=Cream+Biscuits&offset=0&showAgeConsent=false&storeId=1404643&taxonomyType=Speciality+taxonomy+1"
7,"Biscuits & Cakes > Marie & Digestive","Biscuits & Cakes > Marie & Digestive","https://www.swiggy.com/instamart/category-listing?categoryName=Biscuits+and+Cakes&filterId=6822eeeded32000001e25b18&filterName=Marie+%26+Digestive&offset=0&showAgeConsent=false&storeId=1404643&taxonomyType=Speciality+taxonomy+1"
8,"Biscuits & Cakes > Salted & Plain","Biscuits & Cakes > Salted & Plain","https://www.swiggy.com/instamart/category-listing?categoryName=Biscuits+and+Cakes&filterId=6822eeeded32000001e25b19&filterName=Salted+%26+Plain&offset=0&showAgeConsent=false&storeId=1404643&taxonomyType=Speciality+taxonomy+1"
9,"Biscuits & Cakes > Wafers","Biscuits & Cakes > Wafers","https://www.swiggy.com/instamart/category-listing?categoryName=Biscuits+and+Cakes&filterId=6822eeeded32000001e25b1b&filterName=Wafers&offset=0&showAgeConsent=false&storeId=1404643&taxonomyType=Speciality+taxonomy+1"
10,"Biscuits & Cakes > Rusk","Biscuits & Cakes > Rusk","https://www.swiggy.com/instamart/category-listing?categoryName=Biscuits+and+Cakes&filterId=6822eeeded32000001e25b1c&filterName=Rusk&offset=0&showAgeConsent=false&storeId=1404643&taxonomyType=Speciality+taxonomy+1"
11,"Cleaning Essentials > Detergent Powders","Cleaning Essentials > Detergent Liquids",""
12,"Cleaning Essentials > Detergent Powders","Cleaning Essentials > Fabric Softners",""
13,"Cleaning Essentials > Detergent Powders","Cleaning Essentials > Floor Cleaner",""
14,"Cleaning Essentials > Detergent Powders","Cleaning Essentials > Utensils Cleaner",""
15,"Cleaning Essentials > Detergent Powders","Cleaning Essentials > Kitchen Cleaning",""
16,"Cleaning Essentials > Detergent Powders","Cleaning Essentials > Disinfectants",""
17,"Cleaning Essentials > Detergent Powders","Cleaning Essentials > Tooilet Cleaner",""
18,"Bath & Body > Hand Wash","Bath & Body > Shampoo","https://www.swiggy.com/instamart/category-listing?categoryName=Bath+and+Body&filterId=6822eeefed32000001e25b52&filterName=Hand+wash+and+Sanitizers&offset=0&showAgeConsent=false&storeId=1404643&taxonomyType=Supermarket"
19,"Biscuits, Drinks & Packaged Foods > Breakfast Cereals","Biscuits, Drinks & Packaged Foods > Breakfast Cereals","https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/breakfast-cereals/28999"
20,"Biscuits, Drinks & Packaged Foods > Noodles, Pasta & Vermicelli","Biscuits, Drinks & Packaged Foods > Noodles, Pasta & Vermicelli","https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/noodles-pasta-vermicelli/29005"
21,"Biscuits, Drinks & Packaged Foods > Ready To Cook & Eat","Biscuits, Drinks & Packaged Foods > Ready To Cook & Eat","https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/ready-to-cook-eat/29007"
22,"Biscuits, Drinks & Packaged Foods > Spread, Sauces & Ketchup","Biscuits, Drinks & Packaged Foods > Spread, Sauces & Ketchup","https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/spread-sauces-ketchup/29008"
23,"Biscuits, Drinks & Packaged Foods > Pickles, Chutney & Flavouring","Biscuits, Drinks & Packaged Foods > Pickles, Chutney & Flavouring","https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/pickles-chutney-flavouring/29006"
24,"Biscuits, Drinks & Packaged Foods > Chocolates & Candies","Biscuits, Drinks & Packaged Foods > Chocolates & Candies","https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/chocolates-candies/29001"
25,"Biscuits, Drinks & Packaged Foods > Indian Sweets","Biscuits, Drinks & Packaged Foods > Indian Sweets","https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/indian-sweets/29004"
26,"Biscuits, Drinks & Packaged Foods > Chips & Namkeens","Biscuits, Drinks & Packaged Foods > Chips & Namkeens","https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/chips-namkeens/29000"
27,"Biscuits, Drinks & Packaged Foods > Biscuits & Cookies","Biscuits, Drinks & Packaged Foods > Biscuits & Cookies","https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998"
28,"Biscuits, Drinks & Packaged Foods > Biscuits & Cookies","Biscuits, Drinks & Packaged Foods > Biscuits & Cookies","https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998"
29,"Dairy & Bakery > Toast & Khari","Dairy & Bakery > Toast & Khari","https://www.jiomart.com/c/groceries/dairy-bakery/toast-khari/102"
30,"Dairy & Bakery > Cakes & Muffins","Dairy & Bakery > Cakes & Muffins","https://www.jiomart.com/c/groceries/dairy-bakery/cakes-muffins/125"
31,"Dairy & Bakery > Breads & Chapatis","Dairy & Bakery > Breads & Chapatis","https://www.jiomart.com/c/groceries/dairy-bakery/breads-and-chapatis/267"
32,"Dairy & Bakery > Bakery & Snacks","Dairy & Bakery > Bakery & Snacks","https://www.jiomart.com/c/groceries/dairy-bakery/baked-cookies/273"
33,"Mom & Baby Care > Health & Wellness","Mom & Baby Care > Health & Wellness","https://www.jiomart.com/c/groceries/mom-baby-care/health-wellness/2571"
34,"Beauty > Face","Beauty > Face","https://www.jiomart.com/c/groceries/beauty/face/29989"
35,"Personal Care > Hair Care","Personal Care > Hair Care","https://www.jiomart.com/c/groceries/personal-care/hair-care/92"
36,"Personal Care > Bath & Hand Wash","Personal Care > Bath & Hand Wash","https://www.jiomart.com/c/groceries/personal-care/bath-hand-wash/119"
37,"Personal Care > Skin Care","Personal Care > Skin Care","https://www.jiomart.com/c/groceries/personal-care/skin-care/122"
38,"Personal Care > Health & Wellness","Personal Care > Health & Wellness","https://www.jiomart.com/c/groceries/personal-care/health-wellness/165"
39,"Breakfast Sauces > Tea Coffee","Breakfast Sauces > Tea Coffee","https://www.zepto.com/cn/breakfast-sauces/tea-coffee/cid/f804bccc-c565-4879-b6ab-1b964bb1ed41/scid/75cb08c9-27c6-403e-b3fc-a7c7c0c4fc8d"
40,"Breakfast Sauces > Zepto Cafe","Breakfast Sauces > Zepto Cafe","https://www.zepto.com/cn/breakfast-sauces/zepto-cafe/cid/f804bccc-c565-4879-b6ab-1b964bb1ed41/scid/60a35530-9491-4baf-9ec9-462add14e112"
41,"Sweet Tooth > Flavoured Yogurts","Sweet Tooth > Flavoured Yogurts","https://blinkit.com/cn/flavoured-yogurts/cid/9/106"
42,"Sweet Tooth > Ice Cream & Frozen Dessert","Sweet Tooth > Ice Cream & Frozen Dessert","https://blinkit.com/cn/ice-cream-frozen-dessert/cid/9/183"
43,"Sweet Tooth > Indian Sweets","Sweet Tooth > Indian Sweets","https://blinkit.com/cn/indian-sweets/cid/9/943"
44,"Sweet Tooth > Chocolates","Sweet Tooth > Chocolates","https://blinkit.com/cn/chocolates/cid/9/944"
45,"Sweet Tooth > Chocolate Packs","Sweet Tooth > Chocolate Packs","https://blinkit.com/cn/chocolate-packs/cid/9/1173"
46,"Sweet Tooth > Chocolate Syrup","Sweet Tooth > Chocolate Syrup","https://blinkit.com/cn/chocolate-syrup/cid/9/1289"
47,"Sweet Tooth > Candies & Gum","Sweet Tooth > Candies & Gum","https://blinkit.com/cn/candies-gum/cid/9/1930"
48,"Sweet Tooth > Mouth Fresheners","Sweet Tooth > Mouth Fresheners","https://blinkit.com/cn/mouth-fresheners/cid/9/1933"
49,"Sweet Tooth > Cakes and Rolls","Sweet Tooth > Cakes and Rolls","https://blinkit.com/cn/cakes-and-rolls/cid/9/108"
50,"Sweet Tooth > Chocolate Bars","Sweet Tooth > Chocolate Bars","https://blinkit.com/cn/chocolate-bars/cid/9/1736"
51,"Sweet Tooth > Filled Bars","Sweet Tooth > Filled Bars","https://blinkit.com/cn/filled-bars/cid/9/1737"
52,"Sweet Tooth > Wafer Chocolates","Sweet Tooth > Wafer Chocolates","https://blinkit.com/cn/wafer-chocolates/cid/9/1172"
53,"Sweet Tooth > Syrups","Sweet Tooth > Syrups","https://blinkit.com/cn/syrups/cid/9/1298"
54,"Beauty & Cosmetics > Facial Kit","Beauty & Cosmetics > Facial Kit","https://blinkit.com/cn/facial-kit/cid/13/344"
